genome_ID	N50	source	technlogy	NCBI_ID	NCBI_name	name	contact	Other	copy number	OTU	novelty_category	description
Sample22_100	4955	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_100	tuesparholt@gmail.com	Circular virus-like	16	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_101	4890	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_101	tuesparholt@gmail.com	Circular element	86	2	=	circular elements
Sample22_102	4872	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_102	tuesparholt@gmail.com	Circular element	100	2	=	circular elements
Sample22_11	13524	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_11	tuesparholt@gmail.com	plasmid	8	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_110	4709	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_110	tuesparholt@gmail.com	Circular element	72	2	=	circular elements
Sample22_112	4691	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_112	tuesparholt@gmail.com	plasmid	21	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_114	4678	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_114	tuesparholt@gmail.com	Circular element	152	2	=	circular elements
Sample22_149	3933	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_149	tuesparholt@gmail.com	plasmid	22	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_151	3926	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_151	tuesparholt@gmail.com	plasmid	35	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_16	11424	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_16	tuesparholt@gmail.com	plasmid	98	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_167	3769	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_167	tuesparholt@gmail.com	plasmid	11	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_168	3754	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_168	tuesparholt@gmail.com	plasmid	154	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_17	10890	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_17	tuesparholt@gmail.com	plasmid	10	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_187	3466	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_187	tuesparholt@gmail.com	Circular element	92	2	=	circular elements
Sample22_193	3404	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_193	tuesparholt@gmail.com	Circular element	128	2	=	circular elements
Sample22_2	30879	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_2	tuesparholt@gmail.com	Circular virus-like	33	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_210	3284	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_210	tuesparholt@gmail.com	plasmid	111	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_214	3251	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_214	tuesparholt@gmail.com	plasmid	74	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_218	3239	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_218	tuesparholt@gmail.com	plasmid	37	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_22	10109	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_22	tuesparholt@gmail.com	plasmid	158	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_221	3193	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_221	tuesparholt@gmail.com	plasmid	2	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_235	3144	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_235	tuesparholt@gmail.com	plasmid	90	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_240	3106	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_240	tuesparholt@gmail.com	plasmid	62	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
